dataset,1d_conv_additive_sinusoidal,1d_conv_circular_conv_sinusoidal,1d_conv_component_wise_sinusoidal,linear_additive_sinusoidal,linear_circular_conv_sinusoidal,linear_component_wise_sinusoidal
ArticularyWordRecognition,0.6067 ± 0.3848,0.9479 ± 0.0065,0.7196 ± 0.3448,0.9383 ± 0.0133,0.9363 ± 0.0196,0.6133 ± 0.3878
AtrialFibrillation,0.2733 ± 0.0571,0.2667 ± 0.0389,0.3111 ± 0.0573,0.2467 ± 0.0638,0.2733 ± 0.0417,0.2800 ± 0.0376
BasicMotions,0.1861 ± 0.1157,0.9500 ± 0.0158,0.9694 ± 0.0160,0.3375 ± 0.1005,0.9281 ± 0.0283,0.9550 ± 0.0141
Cricket,0.4097 ± 0.3558,0.9028 ± 0.0164,0.9305 ± 0.0214,0.8488 ± 0.2101,0.8924 ± 0.0230,0.9063 ± 0.0283
DuckDuckGeese,0.3825 ± 0.0568,0.2900 ± 0.0819,0.3733 ± 0.0765,0.2125 ± 0.0857,0.3667 ± 0.0704,0.4067 ± 0.0461
ERing,0.4097 ± 0.2409,0.8588 ± 0.0223,0.8213 ± 0.0514,0.7065 ± 0.0327,0.8617 ± 0.0203,0.8796 ± 0.0163
Epilepsy,0.2880 ± 0.0568,0.8343 ± 0.0277,0.7862 ± 0.2049,0.8378 ± 0.1807,0.8324 ± 0.0258,0.6431 ± 0.2485
EthanolConcentration,0.2624 ± 0.0134,0.2629 ± 0.0142,0.2700 ± 0.0051,0.2552 ± 0.0096,0.2700 ± 0.0156,0.2724 ± 0.0100
FaceDetection,0.4942 ± 0.0062,0.6464 ± 0.0529,0.6184 ± 0.0649,0.4983 ± 0.0064,0.6675 ± 0.0025,0.5929 ± 0.0683
FingerMovements,0.5025 ± 0.0617,0.4950 ± 0.0200,0.4688 ± 0.0273,0.4744 ± 0.0277,0.4812 ± 0.0212,0.4533 ± 0.0196
HandMovementDirection,0.3288 ± 0.0552,0.3559 ± 0.0826,0.4257 ± 0.0336,0.2889 ± 0.0448,0.4696 ± 0.0145,0.4138 ± 0.0200
Handwriting,0.1018 ± 0.0556,0.1266 ± 0.0307,0.1372 ± 0.0273,0.1149 ± 0.0461,0.1309 ± 0.0177,0.0963 ± 0.0490
Heartbeat,0.5055 ± 0.1154,0.7226 ± 0.0120,0.6756 ± 0.0682,0.5079 ± 0.1325,0.7275 ± 0.0112,0.7189 ± 0.0092
InsectWingbeat,0.0999 ± 0.0028,0.5729 ± 0.0032,0.6116 ± 0.0025,0.1010 ± 0.0055,0.5937 ± 0.0050,0.5769 ± 0.1601
LSST,0.0411 ± 0.0171,0.5705 ± 0.0064,0.6245 ± 0.0085,0.4361 ± 0.0319,0.5639 ± 0.0058,0.6109 ± 0.0077
Libras,0.0583 ± 0.0122,0.6021 ± 0.0409,0.6500 ± 0.0159,0.6215 ± 0.0325,0.6048 ± 0.0310,0.5694 ± 0.1473
MotorImagery,0.4650 ± 0.0264,0.4867 ± 0.0315,0.4925 ± 0.0263,0.4911 ± 0.0294,0.4962 ± 0.0256,0.4938 ± 0.0189
NATOPS,0.4688 ± 0.2927,0.8028 ± 0.0202,0.8285 ± 0.0335,0.7285 ± 0.0375,0.8167 ± 0.0218,0.8222 ± 0.0275
PEMS-SF,0.2890 ± 0.1786,0.7168 ± 0.0476,0.7305 ± 0.0413,0.4200 ± 0.2018,0.7413 ± 0.0376,0.7572 ± 0.0330
PenDigits,0.7695 ± 0.3289,0.9774 ± 0.0026,0.9854 ± 0.0012,0.9692 ± 0.0023,0.9560 ± 0.0039,0.9594 ± 0.0031
PhonemeSpectra,0.0276 ± 0.0053,0.1592 ± 0.0033,0.1639 ± 0.0055,0.0462 ± 0.0273,0.0702 ± 0.0043,0.0713 ± 0.0020
RacketSports,0.2163 ± 0.0527,0.8470 ± 0.0137,0.8265 ± 0.0065,0.5132 ± 0.2097,0.8240 ± 0.0140,0.8282 ± 0.0180
SelfRegulationSCP1,0.5107 ± 0.1134,0.7918 ± 0.0204,0.8003 ± 0.0189,0.7393 ± 0.0511,0.8242 ± 0.0162,0.8080 ± 0.0266
SelfRegulationSCP2,0.4965 ± 0.0157,0.5208 ± 0.0212,0.5185 ± 0.0236,0.5194 ± 0.0096,0.5142 ± 0.0252,0.5191 ± 0.0197
SpokenArabicDigits,0.3195 ± 0.3204,0.9737 ± 0.0017,0.9780 ± 0.0030,0.9478 ± 0.0064,0.9760 ± 0.0041,0.9797 ± 0.0031
StandWalkJump,0.3630 ± 0.0996,0.3200 ± 0.0376,0.3133 ± 0.0505,0.3408 ± 0.0699,0.3259 ± 0.0400,0.3200 ± 0.0376
UWaveGestureLibraryAll,0.4628 ± 0.0432,0.8829 ± 0.0042,0.8907 ± 0.0063,0.7990 ± 0.0489,0.8733 ± 0.0174,0.8877 ± 0.0083
