dataset,convtran,linear_conv_adaptive_sin_pe,linear_conv_sinusoidal,linear_mla,linear_rope
ArticularyWordRecognition,0.9387 ± 0.0112,0.9417 ± 0.0049,0.9563 ± 0.0066,0.9546 ± 0.0074,0.9467 ± 0.0084
AtrialFibrillation,0.2533 ± 0.0541,0.3400 ± 0.0525,0.3250 ± 0.0357,0.2917 ± 0.0510,0.2963 ± 0.0579
BasicMotions,0.8639 ± 0.0593,0.9778 ± 0.0115,0.9594 ± 0.0156,0.9575 ± 0.0358,0.9417 ± 0.0272
Cricket,0.9479 ± 0.0103,0.9097 ± 0.0215,0.8781 ± 0.0139,0.9532 ± 0.0175,0.9584 ± 0.0185
DuckDuckGeese,0.4111 ± 0.0533,0.3975 ± 0.0547,0.3600 ± 0.0580,0.4000 ± 0.0670,0.5311 ± 0.0377
ERing,0.7822 ± 0.0383,0.8755 ± 0.0273,0.8810 ± 0.0230,0.8042 ± 0.0192,0.7824 ± 0.0264
Epilepsy,0.9384 ± 0.0152,0.8378 ± 0.0102,0.8442 ± 0.0158,0.8645 ± 0.0078,0.8524 ± 0.0180
EthanolConcentration,0.3046 ± 0.0129,0.2467 ± 0.0111,0.2557 ± 0.0085,0.2610 ± 0.0127,0.2567 ± 0.0195
FaceDetection,0.5186 ± 0.0140,0.6744 ± 0.0049,0.6629 ± 0.0044,0.6068 ± 0.0041,0.5516 ± 0.0085
FingerMovements,0.4725 ± 0.0213,0.5062 ± 0.0340,0.4738 ± 0.0232,0.5162 ± 0.0223,0.4812 ± 0.0258
HandMovementDirection,0.3007 ± 0.0505,0.5152 ± 0.0360,0.5000 ± 0.0432,0.3453 ± 0.0597,0.2855 ± 0.0286
Handwriting,0.2335 ± 0.0251,0.1563 ± 0.0203,0.1472 ± 0.0147,0.1102 ± 0.0033,0.0991 ± 0.0144
Heartbeat,0.6092 ± 0.1035,0.7512 ± 0.0062,0.7451 ± 0.0071,0.7451 ± 0.0057,0.7396 ± 0.0167
InsectWingbeat,0.2320 ± 0.0495,0.6115 ± 0.0025,0.6021 ± 0.0036,0.6278 ± 0.0020,0.5942 ± 0.0022
LSST,0.0466 ± 0.0244,0.5830 ± 0.0113,0.5444 ± 0.0088,0.6062 ± 0.0050,0.6095 ± 0.0049
Libras,0.7979 ± 0.0247,0.6298 ± 0.0164,0.6167 ± 0.0190,0.5333 ± 0.1376,0.6146 ± 0.0161
MotorImagery,0.5262 ± 0.0232,0.5100 ± 0.0356,0.4867 ± 0.0426,0.4778 ± 0.0220,0.4678 ± 0.0148
NATOPS,0.8618 ± 0.0191,0.8611 ± 0.0377,0.8639 ± 0.0277,0.8930 ± 0.0166,0.8688 ± 0.0284
PEMS-SF,0.6611 ± 0.0219,0.7167 ± 0.0220,0.7218 ± 0.0231,0.7103 ± 0.0166,0.7066 ± 0.0239
PenDigits,0.9825 ± 0.0015,0.9619 ± 0.0015,0.9409 ± 0.0031,0.9428 ± 0.0036,0.9004 ± 0.0049
PhonemeSpectra,0.2535 ± 0.0086,0.0662 ± 0.0019,0.0677 ± 0.0032,0.0674 ± 0.0039,0.0895 ± 0.0064
RacketSports,0.7866 ± 0.0186,0.8544 ± 0.0095,0.8472 ± 0.0145,0.8273 ± 0.0149,0.8306 ± 0.0127
SelfRegulationSCP1,0.8481 ± 0.0176,0.8157 ± 0.0132,0.8191 ± 0.0124,0.7624 ± 0.0271,0.7786 ± 0.0312
SelfRegulationSCP2,0.5264 ± 0.0185,0.5432 ± 0.0106,0.5507 ± 0.0101,0.5278 ± 0.0114,0.5403 ± 0.0081
SpokenArabicDigits,0.9610 ± 0.0036,0.9782 ± 0.0028,0.9699 ± 0.0039,0.9629 ± 0.0037,0.9645 ± 0.0034
StandWalkJump,0.3667 ± 0.0515,0.3333 ± 0.0362,0.3200 ± 0.0376,0.3083 ± 0.0288,0.2834 ± 0.0494
UWaveGestureLibraryAll,0.9548 ± 0.0034,0.8910 ± 0.0052,0.8896 ± 0.0037,0.8138 ± 0.0116,0.8596 ± 0.0096
Average Test Accuracy,0.6043,0.6457,0.6377,0.6208,0.6215
