dataset,train_samples,sequence_length,num_classes,linear_conv_0_41_sinc_fpe,linear_conv_0_sinc_fpe,linear_conv_1_83_sinc_fpe,linear_conv_1_sinc_fpe,linear_conv_3_sinc_fpe,linear_conv_4_66_sinc_fpe,linear_conv_7_sinc_fpe,linear_conv_sinusoidal
ArticularyWordRecognition,220,144,25,0.9304 ± 0.0097,0.9226 ± 0.0156,0.3820 ± 0.2679,0.7553 ± 0.1955,0.5487 ± 0.2439,0.5704 ± 0.2796,0.9319 ± 0.0219,0.9453 ± 0.0114
AtrialFibrillation,12,640,3,0.2600 ± 0.0571,0.2133 ± 0.0438,0.2733 ± 0.0352,0.2370 ± 0.0372,0.3200 ± 0.0586,0.3000 ± 0.0298,0.3267 ± 0.0352,0.2800 ± 0.0541
BasicMotions,32,100,4,0.9528 ± 0.0203,0.9611 ± 0.0238,0.9625 ± 0.0379,0.9550 ± 0.0250,0.9775 ± 0.0132,0.9944 ± 0.0085,0.9600 ± 0.0379,0.9556 ± 0.0315
Cricket,86,1197,12,0.4000 ± 0.2424,0.1337 ± 0.0452,0.1034 ± 0.0618,0.3611 ± 0.1889,0.1065 ± 0.0675,0.1651 ± 0.1364,0.1651 ± 0.0858,0.3445 ± 0.1906
DuckDuckGeese,40,270,5,0.2180 ± 0.0676,0.1933 ± 0.0288,0.1844 ± 0.0383,0.2025 ± 0.0244,0.2200 ± 0.0504,0.2020 ± 0.0390,0.2000 ± 0.0316,0.1778 ± 0.0302
ERing,24,65,6,0.8568 ± 0.0154,0.7588 ± 0.0050,0.8572 ± 0.0259,0.8148 ± 0.0278,0.8230 ± 0.0439,0.8574 ± 0.0312,0.8478 ± 0.0224,0.8641 ± 0.0296
Epilepsy,109,206,4,0.2857 ± 0.0222,0.2790 ± 0.0687,0.3035 ± 0.0575,0.2443 ± 0.0378,0.3399 ± 0.1108,0.4021 ± 0.1172,0.2956 ± 0.0677,0.2858 ± 0.0732
EthanolConcentration,208,1751,4,0.2555 ± 0.0134,0.2582 ± 0.0119,0.2665 ± 0.0141,0.2488 ± 0.0049,0.2501 ± 0.0103,0.2471 ± 0.0113,0.2530 ± 0.0169,0.2605 ± 0.0104
FaceDetection,4712,62,2,0.5584 ± 0.0047,0.5369 ± 0.0036,0.5855 ± 0.0300,0.5895 ± 0.0052,0.6459 ± 0.0031,0.6604 ± 0.0070,0.6682 ± 0.0035,0.6470 ± 0.0045
FingerMovements,252,50,2,0.5070 ± 0.0336,0.5120 ± 0.0458,0.5020 ± 0.0413,0.5030 ± 0.0462,0.4811 ± 0.0459,0.4650 ± 0.0474,0.5060 ± 0.0368,0.5020 ± 0.0411
HandMovementDirection,128,400,4,0.2568 ± 0.0469,0.2459 ± 0.0497,0.2946 ± 0.0642,0.3338 ± 0.0545,0.3473 ± 0.0901,0.3811 ± 0.0975,0.4487 ± 0.0953,0.4108 ± 0.0642
Handwriting,120,152,26,0.0556 ± 0.0165,0.0385 ± 0.0079,0.0808 ± 0.0254,0.0495 ± 0.0154,0.0778 ± 0.0207,0.0726 ± 0.0280,0.0871 ± 0.0306,0.0546 ± 0.0105
Heartbeat,163,405,2,0.4322 ± 0.1313,0.5220 ± 0.1472,0.5010 ± 0.1425,0.5215 ± 0.1259,0.6854 ± 0.0440,0.6750 ± 0.0516,0.6581 ± 0.0459,0.6671 ± 0.0457
InsectWingbeat,20000,22,10,0.5475 ± 0.0159,0.4016 ± 0.0982,0.4901 ± 0.0329,0.5180 ± 0.0318,0.5236 ± 0.0479,0.5300 ± 0.0145,0.4991 ± 0.0292,0.2967 ± 0.0721
LSST,1967,36,14,0.4433 ± 0.0323,0.4395 ± 0.0183,0.4244 ± 0.0227,0.4023 ± 0.0127,0.4004 ± 0.0131,0.3878 ± 0.0178,0.4038 ± 0.0065,0.3824 ± 0.0130
Libras,144,45,15,0.0636 ± 0.0158,0.0666 ± 0.0253,0.0771 ± 0.0310,0.0549 ± 0.0260,0.0716 ± 0.0184,0.0358 ± 0.0128,0.0856 ± 0.0273,0.0878 ± 0.0227
MotorImagery,222,3000,2,0.4980 ± 0.0297,0.4667 ± 0.0310,0.4840 ± 0.0364,0.5022 ± 0.0287,0.4975 ± 0.0227,0.5300 ± 0.0363,0.4762 ± 0.0126,0.5144 ± 0.0310
NATOPS,144,51,6,0.1809 ± 0.0209,0.1856 ± 0.0443,0.1747 ± 0.0167,0.2050 ± 0.0552,0.1611 ± 0.0344,0.1735 ± 0.0269,0.2144 ± 0.0358,0.1222 ± 0.0267
PEMS-SF,213,144,7,0.2922 ± 0.0628,0.2469 ± 0.0242,0.2286 ± 0.0581,0.3844 ± 0.0971,0.2786 ± 0.0897,0.3208 ± 0.0990,0.3925 ± 0.0773,0.3081 ± 0.0970
PenDigits,5995,8,10,0.8807 ± 0.0131,0.6875 ± 0.0160,0.8452 ± 0.0500,0.8673 ± 0.0283,0.8745 ± 0.0419,0.8988 ± 0.0330,0.9189 ± 0.0154,0.8491 ± 0.0269
PhonemeSpectra,2652,217,39,0.0690 ± 0.0012,0.0526 ± 0.0060,0.0673 ± 0.0024,0.0716 ± 0.0020,0.0665 ± 0.0023,0.0669 ± 0.0023,0.0661 ± 0.0023,0.0669 ± 0.0034
RacketSports,120,30,4,0.5033 ± 0.1878,0.4500 ± 0.1672,0.3326 ± 0.1415,0.3941 ± 0.1418,0.3263 ± 0.0739,0.3868 ± 0.1338,0.2928 ± 0.0689,0.3004 ± 0.0285
SelfRegulationSCP1,214,896,2,0.5809 ± 0.1143,0.5352 ± 0.1076,0.6263 ± 0.0790,0.6997 ± 0.0542,0.6472 ± 0.0545,0.6259 ± 0.0969,0.5942 ± 0.1077,0.6266 ± 0.0596
SelfRegulationSCP2,160,1152,2,0.4861 ± 0.0195,0.5089 ± 0.0169,0.5204 ± 0.0074,0.5127 ± 0.0102,0.4683 ± 0.0289,0.4978 ± 0.0255,0.4934 ± 0.0193,0.5056 ± 0.0192
SpokenArabicDigits,5279,93,10,0.6591 ± 0.2020,0.8235 ± 0.0753,0.8665 ± 0.1034,0.8550 ± 0.0776,0.9408 ± 0.0207,0.8384 ± 0.1201,0.9432 ± 0.0435,0.8646 ± 0.0804
StandWalkJump,9,2500,3,0.2667 ± 0.0810,0.3037 ± 0.0452,0.3267 ± 0.0727,0.2600 ± 0.0525,0.3200 ± 0.0586,0.2733 ± 0.0653,0.3200 ± 0.0865,0.2889 ± 0.0362
UWaveGestureLibraryAll,716,945,8,0.4089 ± 0.0329,0.1273 ± 0.0050,0.6173 ± 0.0738,0.5151 ± 0.0156,0.7594 ± 0.0198,0.8038 ± 0.0345,0.8006 ± 0.0373,0.8344 ± 0.0162
Average,1627,540,9,0.4435,0.4028,0.4262,0.4537,0.4456,0.4578,0.4782,0.4628
