model,mean_acc,mean_rank,std_rank,num_datasets
1d_conv_circular_conv_split_sinusoidal,0.6286,3.4815,2.1904,27
1d_conv_component_wise_sinusoidal,0.6226,3.5556,2.0491,27
linear_circular_conv_sinusoidal,0.6186,4.1667,1.7705,27
1d_conv_circular_conv_sinusoidal,0.6218,4.2037,1.6598,27
linear_component_wise_split_sinusoidal,0.6026,4.5926,2.5609,27
linear_component_wise_sinusoidal,0.5976,5.2963,2.3667,27
linear_additive_split_sinusoidal,0.5367,5.7963,2.5429,27
linear_additive_sinusoidal,0.5121,6.5000,2.5230,27
1d_conv_additive_sinusoidal,0.3750,7.4074,2.6640,27
