dataset,train_samples,sequence_length,num_classes,1d_conv_additive_sinusoidal,1d_conv_circular_conv_sinusoidal,linear_additive_sinusoidal,linear_circular_conv_sinusoidal
ArticularyWordRecognition,220,144,25,0.9427 ± 0.0098,0.9556 ± 0.0072,0.9277 ± 0.0109,0.9463 ± 0.0110
AtrialFibrillation,12,640,3,0.2667 ± 0.0362,0.3267 ± 0.0352,0.2519 ± 0.0342,0.3000 ± 0.0405
BasicMotions,32,100,4,0.9250 ± 0.0367,0.9650 ± 0.0256,0.9500 ± 0.0238,0.9750 ± 0.0000
Cricket,86,1197,12,0.9275 ± 0.0198,0.8781 ± 0.0149,0.9385 ± 0.0125,0.8750 ± 0.0331
DuckDuckGeese,40,270,5,0.2425 ± 0.0140,0.3100 ± 0.0672,0.4489 ± 0.0345,0.3060 ± 0.0935
ERing,24,65,6,0.7118 ± 0.0525,0.8597 ± 0.0252,0.7021 ± 0.0333,0.8642 ± 0.0291
Epilepsy,109,206,4,0.9080 ± 0.0238,0.8056 ± 0.0075,0.8370 ± 0.0254,0.8261 ± 0.0217
EthanolConcentration,208,1751,4,0.2665 ± 0.0078,0.2597 ± 0.0134,0.2414 ± 0.0130,0.2658 ± 0.0146
FaceDetection,4712,62,2,0.5051 ± 0.0029,0.6685 ± 0.0039,0.5376 ± 0.0045,0.6665 ± 0.0057
FingerMovements,252,50,2,0.5267 ± 0.0234,0.4750 ± 0.0197,0.4820 ± 0.0340,0.5090 ± 0.0293
HandMovementDirection,128,400,4,0.2252 ± 0.0316,0.5084 ± 0.0120,0.2568 ± 0.0397,0.4649 ± 0.0382
Handwriting,120,152,26,0.2006 ± 0.0171,0.1467 ± 0.0116,0.0753 ± 0.0221,0.1606 ± 0.0203
Heartbeat,163,405,2,0.5142 ± 0.0781,0.7393 ± 0.0086,0.7439 ± 0.0145,0.7485 ± 0.0073
InsectWingbeat,20000,22,10,0.1004 ± 0.0047,0.5708 ± 0.0045,0.5754 ± 0.0049,0.6000 ± 0.0039
LSST,1967,36,14,0.0482 ± 0.0215,0.5510 ± 0.0078,0.5851 ± 0.0065,0.5421 ± 0.0076
Libras,144,45,15,0.6933 ± 0.0288,0.6255 ± 0.0238,0.4100 ± 0.0332,0.6160 ± 0.0201
MotorImagery,222,3000,2,0.5080 ± 0.0250,0.4920 ± 0.0286,0.5000 ± 0.0526,0.4710 ± 0.0324
NATOPS,144,51,6,0.8106 ± 0.0178,0.8679 ± 0.0229,0.7095 ± 0.0246,0.8472 ± 0.0372
PEMS-SF,213,144,7,0.6058 ± 0.0377,0.7503 ± 0.0219,0.5618 ± 0.0230,0.6958 ± 0.0169
PenDigits,5995,8,10,0.9773 ± 0.0022,0.9808 ± 0.0018,0.8534 ± 0.0180,0.9462 ± 0.0033
PhonemeSpectra,2652,217,39,0.0604 ± 0.0315,0.1540 ± 0.0054,0.0518 ± 0.0039,0.0668 ± 0.0037
RacketSports,120,30,4,0.7632 ± 0.0224,0.8538 ± 0.0112,0.8000 ± 0.0207,0.8290 ± 0.0150
SelfRegulationSCP1,214,896,2,0.7099 ± 0.0502,0.8218 ± 0.0204,0.7562 ± 0.0210,0.8113 ± 0.0191
SelfRegulationSCP2,160,1152,2,0.5228 ± 0.0093,0.5411 ± 0.0157,0.5222 ± 0.0117,0.5417 ± 0.0061
SpokenArabicDigits,5279,93,10,0.9248 ± 0.0039,0.9628 ± 0.0038,0.9170 ± 0.0077,0.9703 ± 0.0022
StandWalkJump,9,2500,3,0.3926 ± 0.0401,0.2933 ± 0.0513,0.3333 ± 0.0675,0.3333 ± 0.0746
UWaveGestureLibraryAll,716,945,8,0.4563 ± 0.0592,0.8818 ± 0.0042,0.4129 ± 0.0955,0.8911 ± 0.0035
Average,1627,540,9,0.5488,0.632,0.5681,0.6193
